"school_id","school_name","year","long_name","primary_category","student_count_total","student_count_low_income","student_count_black","student_count_hispanic","student_count_white","student_count_asian","student_count_native_american","student_count_other_ethnicity","student_count_asian_pacific_islander","student_count_multi","student_count_hawaiian_pacific_islander","student_count_ethnicity_not_available","number_students_tested_ela","percent_did_not_meet_ela","percent_partially_met_ela","percent_approached_ela","percent_met_ela","percent_exceeded_ela","percent_met_or_exceeded_ela","number_students_tested_math","percent_did_not_meet_math","percent_partially_met_math","percent_approached_math","percent_met_math","percent_exceeded_math","percent_met_or_exceeded_math"
609981,"HEARST",2018,"Phoebe Apperson Hearst Elementary School","ES",357,274,129,213,5,4,1,0,0,4,1,0,185,38.4,30.3,22.2,9.2,0,9.2,184,33.7,35.9,21.7,8.7,0,8.7
610368,"HUGHES L",2018,"Langston Hughes Elementary School","ES",481,277,463,14,1,0,1,0,0,2,0,0,250,35.2,28.4,24.8,10.8,0.8,11.6,246,39.4,37.4,18.3,4.9,0,4.9
610017,"SAUCEDO",2018,"Maria Saucedo Elementary Scholastic Academy","ES",945,732,16,919,4,1,3,0,0,2,0,0,643,23,29.7,29.1,17.1,1.1,18.2,641,27.3,36.8,25,10.6,0.3,10.9
609864,"COOK",2018,"John W Cook Elementary School","ES",360,236,351,8,0,0,0,0,0,1,0,0,190,23.7,39.5,25.3,11.6,0,11.6,190,44.2,35.8,15.8,4.2,0,4.2
610146,"REVERE",2018,"Paul Revere Elementary School","ES",242,163,241,1,0,0,0,0,0,0,0,0,123,35,34.1,26,4.9,0,4.9,147,46.3,36.7,13.6,3.4,0,3.4
610073,"MITCHELL",2018,"Ellen Mitchell Elementary School","ES",419,174,55,195,147,5,0,0,0,17,0,0,255,2.4,10.2,26.7,47.1,13.7,60.8,254,6.7,16.9,33.9,33.5,9.1,42.5
610216,"WALSH",2018,"John A Walsh Elementary School","ES",303,164,28,258,9,6,0,0,0,2,0,0,143,31.5,25.2,30.8,11.2,1.4,12.6,126,32.5,34.1,25.4,7.9,0,7.9
610544,"AZUELA",2018,"Mariano Azuela Elementary School","ES",891,728,6,863,15,2,5,0,0,0,0,0,613,10.6,14,27.4,39,9,48,617,16.4,33.1,27.9,20.7,1.9,22.7
609866,"COONLEY",2018,"John C Coonley Elementary School","ES",1027,143,19,210,672,44,1,0,0,74,4,3,498,4.8,9.8,19.5,49,16.9,65.9,492,4.7,12.8,20.9,47.2,14.4,61.6
610090,"MURRAY",2018,"Phillip Murray Elementary Language Academy","ES",493,191,449,12,7,4,2,0,0,18,1,0,312,13.1,19.2,34,30.4,3.2,33.7,316,16.1,31.3,30.7,20.9,0.9,21.8
610290,"MAYS",2018,"Benjamin E Mays Elementary Academy","ES",400,261,392,3,0,0,1,0,0,1,0,3,198,35.4,26.8,27.3,10.1,0.5,10.6,200,35,34,24,7,0,7
610067,"MCKAY",2018,"Francis M McKay Elementary School","ES",782,513,596,178,4,0,3,0,0,1,0,0,452,32.5,28.8,25,13.7,0,13.7,457,35.9,37.2,20.1,6.8,0,6.8
610081,"SHERIDAN",2018,"Mark Sheridan Math & Science Academy","ES",558,255,97,122,85,234,0,0,0,18,2,0,339,4.7,15.6,30.7,42.8,6.2,49,343,5.8,17.2,26.8,44.6,5.5,50.1
